ticker,industry,market_cap,revenue_cagr,net_profit_margin_avg
ARIHANTSUP.NS,Real Estate - Development,14983723008.0,0.23347183175414665,0.09900909149440423
ARKADE.NS,Real Estate - Development,30500786176.0,0.9156040095667499,0.22160996738324332
ARMANFIN.NS,Credit Services,16450177024.0,0.46129226516567834,0.18403086918263162
AROGRANITE.NS,Building Products & Equipment,566252992.0,-0.047323017079551444,0.011625789171138788
ARROWGREEN.NS,Packaging & Containers,8785684480.0,0.41544113019351414,0.03910285252025966
ARSHIYA.NS,Integrated Freight & Logistics,737860160.0,0.026501190189452295,-4.492873447606553
ARVEE.NS,Specialty Chemicals,1629747840.0,-0.13660870981789675,0.05588168028616444
ARVIND.NS,Textile Manufacturing,104665284608.0,0.1521187584373116,0.03071968897474437
ARVINDFASN.NS,Apparel Manufacturing,59581526016.0,0.3055993759543705,-0.09077373737469949
ARVSMART.NS,Real Estate - Development,31605350400.0,0.3228180737095929,0.0984857885801815
ASAHIINDIA.NS,Auto Parts,187636940800.0,0.21419737362720115,0.08315868866746796
ASAHISONG.NS,Specialty Chemicals,5517615104.0,0.14960944981985502,0.04655991098680362
ASAL.NS,Auto Parts,7930613248.0,0.08460606904774526,0.035173781792259454
ASALCBR.NS,Beverages - Wineries & Distilleries,20386105344.0,0.2009247390099207,0.09451774508938122
ASHAPURMIN.NS,Other Industrial Metals & Mining,35425853440.0,0.3202222387567799,0.08015542906998986
ASHIANA.NS,Real Estate - Development,28066580480.0,0.5895183878048025,0.032959252948633
ASHIMASYN.NS,Textile Manufacturing,6267281920.0,0.4749988774133138,0.05872906240248512
ASHOKA.NS,Engineering & Construction,54482722816.0,0.24715873337603678,0.07138390659469504
ASHOKAMET.NS,Steel,450677888.0,0.06856283659885065,0.0425586111591103
ASHOKLEY.NS,Farm & Heavy Construction Machinery,688704389120.0,0.330152900318176,0.015513332575488452
ASIANENE.NS,Oil & Gas Equipment & Services,14754390016.0,0.10221685955184823,-0.018396509510877852
ASIANHOTNR.NS,Lodging,7008015360.0,0.6014194056822351,-2.786590515860085
