YF_Ticker,Years
ATULAUTO.NS,"[2021, 2022, 2023, 2024]"
AUBANK.NS,"[2021, 2022, 2023, 2024, 2025]"
AURIONPRO.NS,"[2021, 2022, 2023, 2024]"
AUROPHARMA.NS,"[2021, 2022, 2023, 2024]"
AURUM.NS,"[2021, 2022, 2023, 2024, 2025]"
AUSOMENT.NS,"[2021, 2022, 2023, 2024]"
AUTOAXLES.NS,"[2021, 2022, 2023, 2024]"
AUTOIND.NS,"[2021, 2022, 2023, 2024]"
AVADHSUGAR.NS,"[2021, 2022, 2023, 2024]"
AVALON.NS,"[2021, 2022, 2023, 2024]"
AVANTEL.NS,"[2021, 2022, 2023, 2024]"
AVANTIFEED.NS,"[2021, 2022, 2023, 2024]"
AVG.NS,"[2021, 2022, 2023, 2024]"
AVL.NS,"[2021, 2022, 2023, 2024]"
AVONMORE.NS,"[2021, 2022, 2023, 2024]"
AVROIND.NS,"[2021, 2022, 2023, 2024]"
AVTNPL.NS,"[2021, 2022, 2023, 2024]"
AWHCL.NS,"[2021, 2022, 2023, 2024]"
AWL.NS,"[2021, 2022, 2023, 2024, 2025]"
AXISBANK.NS,"[2021, 2022, 2023, 2024, 2025]"
AXISCADES.NS,"[2021, 2022, 2023, 2024]"
AXITA.NS,"[2021, 2022, 2023, 2024]"
AYMSYNTEX.NS,"[2021, 2022, 2023, 2024]"
AZAD.NS,"[2021, 2022, 2023, 2024]"
BAFNAPH.NS,"[2021, 2022, 2023, 2024]"
BAGFILMS.NS,"[2021, 2022, 2023, 2024]"
BAIDFIN.NS,"[2021, 2022, 2023, 2024]"
BAJAJ-AUTO.NS,"[2021, 2022, 2023, 2024]"
BAJAJCON.NS,"[2021, 2022, 2023, 2024]"
BAJAJELEC.NS,"[2021, 2022, 2023, 2024]"
BAJAJFINSV.NS,"[2021, 2022, 2023, 2024, 2025]"
BAJAJHCARE.NS,"[2021, 2022, 2023, 2024]"
BAJAJHIND.NS,"[2021, 2022, 2023, 2024]"
BAJAJHLDNG.NS,"[2021, 2022, 2023, 2024]"
BAJFINANCE.NS,"[2021, 2022, 2023, 2024, 2025]"
BALAJEE.NS,"[2021, 2022, 2023, 2024]"
BALAJITELE.NS,"[2021, 2022, 2023, 2024]"
BALAMINES.NS,"[2021, 2022, 2023, 2024]"
BALAXI.NS,"[2021, 2022, 2023, 2024]"
BALKRISHNA.NS,"[2021, 2022, 2023, 2024]"
BALKRISIND.NS,"[2021, 2022, 2023, 2024]"
BALMLAWRIE.NS,"[2021, 2022, 2023, 2024]"
BALPHARMA.NS,"[2021, 2022, 2023, 2024]"
BALRAMCHIN.NS,"[2021, 2022, 2023, 2024]"
BALUFORGE.NS,"[2021, 2022, 2023, 2024]"
BANARBEADS.NS,"[2021, 2022, 2023, 2024]"
BANARISUG.NS,"[2021, 2022, 2023, 2024]"
BANCOINDIA.NS,"[2021, 2022, 2023, 2024]"
BANDHANBNK.NS,"[2021, 2022, 2023, 2024, 2025]"
BANG.NS,"[2021, 2022, 2023, 2024]"
BANKA.NS,"[2021, 2022, 2023, 2024]"
BANKBARODA.NS,"[2021, 2022, 2023, 2024, 2025]"
BANKINDIA.NS,"[2021, 2022, 2023, 2024]"
BANSALWIRE.NS,"[2021, 2022, 2023, 2024]"
BANSWRAS.NS,"[2021, 2022, 2023, 2024]"
BARBEQUE.NS,"[2021, 2022, 2023, 2024]"
BASF.NS,"[2021, 2022, 2023, 2024]"
BASML.NS,"[2021, 2022, 2023, 2024]"
BATAINDIA.NS,"[2021, 2022, 2023, 2024]"
BAYERCROP.NS,"[2021, 2022, 2023, 2024]"
BBL.NS,"[2021, 2022, 2023, 2024]"
BBOX.NS,"[2021, 2022, 2023, 2024]"
BBTC.NS,"[2021, 2022, 2023, 2024]"
BBTCL.NS,"[2021, 2022, 2023, 2024]"
BCLIND.NS,"[2021, 2022, 2023, 2024]"
BCONCEPTS.NS,"[2021, 2022, 2023, 2024]"
BDL.NS,"[2021, 2022, 2023, 2024]"
BEARDSELL.NS,"[2021, 2022, 2023, 2024]"
BECTORFOOD.NS,"[2021, 2022, 2023, 2024]"
BEDMUTHA.NS,"[2021, 2022, 2023, 2024]"
BEL.NS,"[2021, 2022, 2023, 2024]"
BEML.NS,"[2021, 2022, 2023, 2024]"
BEPL.NS,"[2021, 2022, 2023, 2024]"
BERGEPAINT.NS,"[2021, 2022, 2023, 2024]"
BESTAGRO.NS,"[2021, 2022, 2023, 2024]"
BFINVEST.NS,"[2021, 2022, 2023, 2024]"
BFUTILITIE.NS,"[2021, 2022, 2023, 2024]"
BGRENERGY.NS,"[2021, 2022, 2023, 2024]"
BHAGCHEM.NS,"[2021, 2022, 2023, 2024]"
BHAGERIA.NS,"[2021, 2022, 2023, 2024]"
BHAGYANGR.NS,"[2021, 2022, 2023, 2024]"
BHANDARI.NS,"[2021, 2022, 2023, 2024]"
BHARATFORG.NS,"[2021, 2022, 2023, 2024, 2025]"
BHARATGEAR.NS,"[2021, 2022, 2023, 2024]"
BHARATRAS.NS,"[2021, 2022, 2023, 2024]"
BHARATSE.NS,"[2021, 2022, 2023, 2024]"
BHARATWIRE.NS,"[2021, 2022, 2023, 2024]"
BHARTIARTL.NS,"[2021, 2022, 2023, 2024]"
BHEL.NS,"[2021, 2022, 2023, 2024]"
BIGBLOC.NS,"[2021, 2022, 2023, 2024]"
BIKAJI.NS,"[2021, 2022, 2023, 2024]"
BIL.NS,"[2021, 2022, 2023, 2024]"
BINANIIND.NS,"[2021, 2022, 2023, 2024]"
BIOCON.NS,"[2021, 2022, 2023, 2024, 2025]"
BIOFILCHEM.NS,"[2021, 2022, 2023, 2024]"
BIRLACABLE.NS,"[2021, 2022, 2023, 2024]"
BIRLACORPN.NS,"[2021, 2022, 2023, 2024]"
BIRLAMONEY.NS,"[2021, 2022, 2023, 2024, 2025]"
BIRLANU.NS,"[2021, 2022, 2023, 2024]"
BLBLIMITED.NS,"[2021, 2022, 2023, 2024]"
BLISSGVS.NS,"[2021, 2022, 2023, 2024]"
BLKASHYAP.NS,"[2021, 2022, 2023, 2024]"
BLS.NS,"[2021, 2022, 2023, 2024]"
BLSE.NS,"[2021, 2022, 2023, 2024]"
BLUECHIP.NS,"[2021, 2022, 2023, 2024]"
BLUECOAST.NS,"[2021, 2022, 2023, 2024]"
BLUEDART.NS,"[2021, 2022, 2023, 2024]"
BLUEJET.NS,"[2021, 2022, 2023, 2024]"
BLUESTARCO.NS,"[2021, 2022, 2023, 2024, 2025]"
BODALCHEM.NS,"[2021, 2022, 2023, 2024]"
BOHRAIND.NS,"[2021, 2022, 2023, 2024]"
BOMDYEING.NS,"[2021, 2022, 2023, 2024]"
BOROLTD.NS,"[2021, 2022, 2023, 2024]"
BORORENEW.NS,"[2021, 2022, 2023, 2024]"
BOSCHLTD.NS,"[2021, 2022, 2023, 2024]"
BPCL.NS,"[2021, 2022, 2023, 2024, 2025]"
BPL.NS,"[2021, 2022, 2023, 2024]"
BRIGADE.NS,"[2021, 2022, 2023, 2024]"
BRITANNIA.NS,"[2021, 2022, 2023, 2024, 2025]"
BRNL.NS,"[2021, 2022, 2023, 2024]"
BROOKS.NS,"[2021, 2022, 2023, 2024]"
BSE.NS,"[2021, 2022, 2023, 2024]"
BSHSL.NS,"[2021, 2022, 2023, 2024]"
BSL.NS,"[2021, 2022, 2023, 2024]"
BSOFT.NS,"[2021, 2022, 2023, 2024]"
BTML.NS,"[2021, 2022, 2023, 2024]"
BUTTERFLY.NS,"[2021, 2022, 2023, 2024]"
BVCL.NS,"[2021, 2022, 2023, 2024]"
BYKE.NS,"[2021, 2022, 2023, 2024]"
CALSOFT.NS,"[2021, 2022, 2023, 2024]"
CAMLINFINE.NS,"[2021, 2022, 2023, 2024]"
CAMPUS.NS,"[2021, 2022, 2023, 2024]"
CAMS.NS,"[2021, 2022, 2023, 2024, 2025]"
CANBK.NS,"[2021, 2022, 2023, 2024, 2025]"
CANFINHOME.NS,"[2021, 2022, 2023, 2024, 2025]"
CANTABIL.NS,"[2021, 2022, 2023, 2024]"
CAPACITE.NS,"[2021, 2022, 2023, 2024]"
CAPITALSFB.NS,"[2021, 2022, 2023, 2024, 2025]"
CAPLIPOINT.NS,"[2021, 2022, 2023, 2024]"
CAPTRUST.NS,"[2021, 2022, 2023, 2024]"
CARBORUNIV.NS,"[2021, 2022, 2023, 2024]"
CARERATING.NS,"[2021, 2022, 2023, 2024]"
CARTRADE.NS,"[2021, 2022, 2023, 2024]"
CARYSIL.NS,"[2021, 2022, 2023, 2024]"
CASTROLIND.NS,"[2020, 2021, 2022, 2023, 2024]"
CCCL.NS,"[2021, 2022, 2023, 2024, 2025]"
CCHHL.NS,"[2021, 2022, 2023, 2024]"
CCL.NS,"[2021, 2022, 2023, 2024, 2025]"
CDSL.NS,"[2021, 2022, 2023, 2024, 2025]"
CEATLTD.NS,"[2021, 2022, 2023, 2024, 2025]"
CELEBRITY.NS,"[2021, 2022, 2023, 2024]"
CELLO.NS,"[2021, 2022, 2023, 2024]"
CENTENKA.NS,"[2021, 2022, 2023, 2024]"
CENTEXT.NS,"[2021, 2022, 2023, 2024]"
CENTRALBK.NS,"[2021, 2022, 2023, 2024, 2025]"
CENTRUM.NS,"[2021, 2022, 2023, 2024]"
CENTUM.NS,"[2021, 2022, 2023, 2024]"
CENTURYPLY.NS,"[2021, 2022, 2023, 2024]"
CERA.NS,"[2021, 2022, 2023, 2024]"
CEREBRAINT.NS,"[2021, 2022, 2023, 2024]"
CESC.NS,"[2021, 2022, 2023, 2024]"
CGCL.NS,"[2021, 2022, 2023, 2024, 2025]"
CGPOWER.NS,"[2021, 2022, 2023, 2024, 2025]"
CHALET.NS,"[2021, 2022, 2023, 2024]"
CHAMBLFERT.NS,"[2021, 2022, 2023, 2024, 2025]"
CHEMBOND.NS,"[2021, 2022, 2023, 2024]"
CHEMCON.NS,"[2021, 2022, 2023, 2024]"
CHEMFAB.NS,"[2021, 2022, 2023, 2024]"
CHEMPLASTS.NS,"[2021, 2022, 2023, 2024]"
CHENNPETRO.NS,"[2021, 2022, 2023, 2024, 2025]"
CHEVIOT.NS,"[2021, 2022, 2023, 2024]"
CHOICEIN.NS,"[2021, 2022, 2023, 2024]"
CHOLAFIN.NS,"[2021, 2022, 2023, 2024, 2025]"
CHOLAHLDNG.NS,"[2021, 2022, 2023, 2024]"
CIEINDIA.NS,"[2020, 2021, 2022, 2023, 2024]"
CIGNITITEC.NS,"[2021, 2022, 2023, 2024]"
CINELINE.NS,"[2021, 2022, 2023, 2024]"
CINEVISTA.NS,"[2021, 2022, 2023, 2024]"
CIPLA.NS,"[2021, 2022, 2023, 2024]"
CLEAN.NS,"[2021, 2022, 2023, 2024]"
CLEDUCATE.NS,"[2021, 2022, 2023, 2024]"
CLSEL.NS,"[2021, 2022, 2023, 2024]"
CMSINFO.NS,"[2021, 2022, 2023, 2024]"
COALINDIA.NS,"[2021, 2022, 2023, 2024, 2025]"
COASTCORP.NS,"[2021, 2022, 2023, 2024]"
COCHINSHIP.NS,"[2021, 2022, 2023, 2024]"
COFFEEDAY.NS,"[2021, 2022, 2023, 2024]"
COFORGE.NS,"[2021, 2022, 2023, 2024, 2025]"
COLPAL.NS,"[2021, 2022, 2023, 2024]"
COMPINFO.NS,"[2021, 2022, 2023, 2024]"
COMPUSOFT.NS,"[2021, 2022, 2023, 2024]"
COMSYN.NS,"[2021, 2022, 2023, 2024]"
CONCOR.NS,"[2021, 2022, 2023, 2024]"
CONCORDBIO.NS,"[2021, 2022, 2023, 2024]"
CONFIPET.NS,"[2021, 2022, 2023, 2024]"
CONSOFINVT.NS,"[2021, 2022, 2023, 2024]"
CONTROLPR.NS,"[2021, 2022, 2023, 2024]"
CORALFINAC.NS,"[2021, 2022, 2023, 2024]"
CORDSCABLE.NS,"[2021, 2022, 2023, 2024]"
COROMANDEL.NS,"[2021, 2022, 2023, 2024, 2025]"
COSMOFIRST.NS,"[2021, 2022, 2023, 2024]"
COUNCODOS.NS,"[2021, 2022, 2023, 2024]"
CPCAP.NS,"[2021, 2022, 2023, 2024]"
CRAFTSMAN.NS,"[2021, 2022, 2023, 2024, 2025]"
CREATIVE.NS,"[2021, 2022, 2023, 2024]"
CREATIVEYE.NS,"[2021, 2022, 2023, 2024]"
CREDITACC.NS,"[2021, 2022, 2023, 2024]"
CREST.NS,"[2021, 2022, 2023, 2024]"
CRISIL.NS,"[2020, 2021, 2022, 2023, 2024]"
CROMPTON.NS,"[2021, 2022, 2023, 2024]"
CROWN.NS,"[2021, 2022, 2023, 2024]"
CSBBANK.NS,"[2021, 2022, 2023, 2024, 2025]"
CSLFINANCE.NS,"[2021, 2022, 2023, 2024]"
CTE.NS,"[2021, 2022, 2023, 2024]"
CUB.NS,"[2021, 2022, 2023, 2024, 2025]"
CUBEXTUB.NS,"[2021, 2022, 2023, 2024]"
CUMMINSIND.NS,"[2021, 2022, 2023, 2024]"
CUPID.NS,"[2021, 2022, 2023, 2024]"
CYBERMEDIA.NS,"[2021, 2022, 2023, 2024]"
CYBERTECH.NS,"[2021, 2022, 2023, 2024]"
CYIENT.NS,"[2021, 2022, 2023, 2024, 2025]"
CYIENTDLM.NS,"[2021, 2022, 2023, 2024, 2025]"
DABUR.NS,"[2021, 2022, 2023, 2024, 2025]"
DALBHARAT.NS,"[2021, 2022, 2023, 2024, 2025]"
DALMIASUG.NS,"[2021, 2022, 2023, 2024]"
DAMODARIND.NS,"[2021, 2022, 2023, 2024]"
DANGEE.NS,"[2021, 2022, 2023, 2024]"
DATAMATICS.NS,"[2021, 2022, 2023, 2024]"
DATAPATTNS.NS,"[2021, 2022, 2023, 2024]"
DAVANGERE.NS,"[2021, 2022, 2023, 2024]"
DBCORP.NS,"[2021, 2022, 2023, 2024]"
DBEIL.NS,"[2021, 2022, 2023, 2024]"
DBL.NS,"[2021, 2022, 2023, 2024]"
DBREALTY.NS,"[2021, 2022, 2023, 2024]"
DBSTOCKBRO.NS,"[2021, 2022, 2023, 2024, 2025]"
DCAL.NS,"[2021, 2022, 2023, 2024]"
DCBBANK.NS,"[2021, 2022, 2023, 2024, 2025]"
DCI.NS,"[2021, 2022, 2023, 2024]"
DCM.NS,"[2021, 2022, 2023, 2024]"
DCMFINSERV.NS,"[2021, 2022, 2023, 2024]"
DCMNVL.NS,"[2021, 2022, 2023, 2024]"
DCMSHRIRAM.NS,"[2021, 2022, 2023, 2024, 2025]"
DCMSRIND.NS,"[2021, 2022, 2023, 2024]"
DCW.NS,"[2021, 2022, 2023, 2024]"
DCXINDIA.NS,"[2021, 2022, 2023, 2024]"
DDEVPLSTIK.NS,"[2021, 2022, 2023, 2024]"
DECCANCE.NS,"[2021, 2022, 2023, 2024]"
DEEPAKFERT.NS,"[2021, 2022, 2023, 2024]"
DEEPAKNTR.NS,"[2021, 2022, 2023, 2024]"
DEEPINDS.NS,"[2021, 2022, 2023, 2024]"
DELHIVERY.NS,"[2021, 2022, 2023, 2024]"
DELPHIFX.NS,"[2021, 2022, 2023, 2024, 2025]"
DELTACORP.NS,"[2021, 2022, 2023, 2024, 2025]"
DELTAMAGNT.NS,"[2021, 2022, 2023, 2024]"
DEN.NS,"[2021, 2022, 2023, 2024, 2025]"
DENORA.NS,"[2021, 2022, 2023, 2024, 2025]"
DENTA.NS,"[2021, 2022, 2023, 2024]"
DEVIT.NS,"[2021, 2022, 2023, 2024]"
DEVYANI.NS,"[2021, 2022, 2023, 2024]"
DGCONTENT.NS,"[2021, 2022, 2023, 2024]"
DHAMPURSUG.NS,"[2021, 2022, 2023, 2024]"
DHANBANK.NS,"[2021, 2022, 2023, 2024]"
DHANI.NS,"[2021, 2022, 2023, 2024, 2025]"
DHANUKA.NS,"[2021, 2022, 2023, 2024]"
DHARMAJ.NS,"[2021, 2022, 2023, 2024]"
DHRUV.NS,"[2021, 2022, 2023, 2024]"
DHUNINV.NS,"[2021, 2022, 2023, 2024]"
DIACABS.NS,"[2021, 2022, 2023, 2024]"
DIAMINESQ.NS,"[2021, 2022, 2023, 2024]"
DIAMONDYD.NS,"[2021, 2022, 2023, 2024]"
DICIND.NS,"[2020, 2021, 2022, 2023, 2024]"
DIFFNKG.NS,"[2021, 2022, 2023, 2024]"
DIGISPICE.NS,"[2021, 2022, 2023, 2024]"
DIGJAMLMTD.NS,"[2021, 2022, 2023, 2024]"
DIL.NS,"[2021, 2022, 2023, 2024]"
DISHTV.NS,"[2021, 2022, 2023, 2024]"
DIVGIITTS.NS,"[2021, 2022, 2023, 2024]"
DIVISLAB.NS,"[2021, 2022, 2023, 2024]"
DIXON.NS,"[2021, 2022, 2023, 2024]"
DJML.NS,"[2021, 2022, 2023, 2024]"
DLF.NS,"[2021, 2022, 2023, 2024]"
DLINKINDIA.NS,"[2021, 2022, 2023, 2024]"
DMART.NS,"[2021, 2022, 2023, 2024, 2025]"
DMCC.NS,"[2021, 2022, 2023, 2024]"
DNAMEDIA.NS,"[2021, 2022, 2023, 2024]"
DODLA.NS,"[2021, 2022, 2023, 2024]"
DOLATALGO.NS,"[2021, 2022, 2023, 2024]"
DOLLAR.NS,"[2021, 2022, 2023, 2024]"
DOMS.NS,"[2021, 2022, 2023, 2024]"
DONEAR.NS,"[2021, 2022, 2023, 2024]"
DPABHUSHAN.NS,"[2021, 2022, 2023, 2024]"
DPSCLTD.NS,"[2021, 2022, 2023, 2024]"
