industry,percentile,revenue_cagr,net_profit_margin_avg
Auto Parts,10,0.2986980450630422,0.120316244871559
Banks - Regional,1,0.6652261380014657,0.3627690509648961
Banks - Regional,5,0.3557844889895938,0.3259372612183699
Banks - Regional,10,0.2912482777078538,0.2867316687018821
Beverages - Brewers,1,0.6337161410956016,0.0516734051307782
Beverages - Brewers,5,0.6337161410956016,0.0516734051307782
Beverages - Brewers,10,0.6337161410956016,0.0516734051307782
Beverages - Non-Alcoholic,1,7.512845704194371,0.17111822907737817
Beverages - Non-Alcoholic,5,7.512845704194371,0.15431573431480772
Beverages - Non-Alcoholic,10,7.512845704194371,0.13331261586159468
Beverages - Wineries & Distilleries,1,4.029609951728374,0.2052743397329566
Beverages - Wineries & Distilleries,5,3.5761029421793085,0.19649445322058667
Beverages - Wineries & Distilleries,10,0.8822380443684371,0.1467417629838246
Biotechnology,1,5.265652028446205,0.41148152391570686
Biotechnology,5,0.2332617282350837,0.3304358441792537
Biotechnology,10,0.2122163036328702,0.31940738261815527
Broadcasting,1,0.6358768692540455,0.459992543619366
Broadcasting,5,0.2480661048451218,0.39451220990251845
Broadcasting,10,0.2474351737451638,0.1325908750351329
Building Materials,1,1.9574224159270373,4.971523644021436
Building Materials,5,0.38925547189529885,0.1806819409591464
Building Materials,10,0.3333173934277098,0.1313619376409861
Building Products & Equipment,1,1.590169600712226,1.2696105240051891
Building Products & Equipment,5,0.3833003140305973,0.152741145117285
Building Products & Equipment,10,0.3312048178594163,0.141618900228123
Business Equipment & Supplies,1,0.5649439386078485,0.156130013298502
Business Equipment & Supplies,5,0.5649439386078485,0.156130013298502
Business Equipment & Supplies,10,0.5578419343170715,0.14923520615764174
Capital Markets,1,3.846254508054538,17.644059135678887
Capital Markets,5,1.9972721053176152,2.6080370492003686
Capital Markets,10,0.9493431947701865,0.9216960531632624
Chemicals,1,2.9649571688911163,25.93931150468884
Chemicals,5,0.5113904606211788,0.32323864204433234
Chemicals,10,0.2887288392321709,0.2184037069737574
Coking Coal,1,4.861541990525716,0.014624719680789773
Coking Coal,5,4.660481268273356,0.01439113106734127
Coking Coal,10,4.409155365457908,0.01409914530053064
Communication Equipment,1,1.5306432816026023,0.1943124287145918
Communication Equipment,5,0.9801017232836142,0.1530209093752122
Communication Equipment,10,0.5207011580614161,0.11518186665223094
Computer Hardware,1,12.771346442149074,0.15917685949622298
Computer Hardware,5,6.979084418022973,0.13014049813559864
Computer Hardware,10,1.0551800751667604,0.1004442194713239
Confectioners,1,1.182756841993673,0.2435731368577277
Confectioners,5,0.4118174041225393,0.10838633328205209
Confectioners,10,0.2673955960849083,0.0952768771338644
Conglomerates,1,11.768571138223916,9.463895593803466
Conglomerates,5,2.2054189851935018,1.1122062327671944
Conglomerates,10,0.334103675315876,0.740381275131246
Consulting Services,1,14.465582078747294,261.7651279885535
Consulting Services,5,9.137668676402111,132.48405829860772
Consulting Services,10,3.3640734257016764,0.2647824793456683
Consumer Electronics,1,0.6453993787905393,0.0363968587555245
Consumer Electronics,5,0.5708870500848683,0.0363968587555245
Consumer Electronics,10,0.4777466392027796,0.0363968587555245
Copper,1,0.4644519991410751,23.11559119891376
Copper,5,0.4644519991410751,12.910937438037564
Copper,10,0.4644519991410751,0.1551202369423302
Credit Services,1,4.173791230693382,28.264932982819445
Credit Services,5,2.0307338235164774,1.5375215507948767
Credit Services,10,1.1559394969158718,0.7318198816260175
Department Stores,1,0.5190568147300296,0.014889437339626076
Department Stores,5,0.4512910239194595,0.013099967137901585
Department Stores,10,0.3665837854062473,0.010863129385745983
Diagnostics & Research,1,0.5668604231343122,0.21778714064040505
Diagnostics & Research,5,0.18558741144599242,0.2159069700466316
Diagnostics & Research,10,0.1605036606770236,0.2157832746128307
Discount Stores,1,0.243301207842923,0.0498849455893104
Discount Stores,5,0.243301207842923,0.0498849455893104
Discount Stores,10,0.243301207842923,0.0498849455893104
Drug Manufacturers - General,1,0.1668935151464645,0.2850548185330985
Drug Manufacturers - General,5,0.1668935151464645,0.2850548185330985
Drug Manufacturers - General,10,0.16578657857045914,0.28336589412095825
Drug Manufacturers - Specialty & Generic,1,0.8140791104785957,0.35932688933184653
Drug Manufacturers - Specialty & Generic,5,0.3802543716905247,0.2496820603478305
Drug Manufacturers - Specialty & Generic,10,0.27544878176774784,0.19197712662057306
Education & Training Services,1,4.2166375518207735,0.6519853245242949
